ORDERNUMBER,ORDERLINENUMBER,ORDERDATE,STATUS,PRODUCTLINE,PRODUCTCODE,QUANTITYORDERED,PRICEEACH,SALES,MSRP,PRECIO_UNITARIO
10126,14,2003-05-28,Shipped,Vintage Cars,S18_2957,46,73.7,3390.2,62,73.7
10126,15,2003-05-28,Shipped,Vintage Cars,S24_4258,34,100.0,3576.12,97,105.17999999999999
10126,16,2003-05-28,Shipped,Vintage Cars,S18_3320,38,82.34,3128.92,99,82.34
10126,17,2003-05-28,Shipped,Vintage Cars,S18_1367,42,54.99,2309.58,53,54.989999999999995
10127,1,2003-06-03,Shipped,Classic Cars,S12_3891,42,100.0,8138.76,173,193.78
10127,2,2003-06-03,Shipped,Classic Cars,S12_1108,46,100.0,11279.2,207,245.20000000000002
10127,3,2003-06-03,Shipped,Classic Cars,S12_3148,46,100.0,7366.44,151,160.14
10127,5,2003-06-03,Shipped,Classic Cars,S18_4027,25,100.0,3447.0,143,137.88
10127,7,2003-06-03,Shipped,Classic Cars,S24_4048,20,96.99,1939.8,118,96.99
10127,8,2003-06-03,Shipped,Classic Cars,S24_1444,20,60.69,1213.8,57,60.69
10127,10,2003-06-03,Shipped,Classic Cars,S18_2238,45,100.0,7146.9,163,158.82
10127,12,2003-06-03,Shipped,Classic Cars,S24_2840,39,38.19,1489.41,35,38.190000000000005
10127,15,2003-06-03,Shipped,Classic Cars,S18_3232,22,100.0,3837.24,169,174.42
10128,1,2003-06-06,Shipped,Vintage Cars,S18_4522,43,92.16,3962.88,87,92.16
10128,2,2003-06-06,Shipped,Vintage Cars,S18_3140,41,100.0,5544.02,136,135.22
10129,1,2003-06-12,Shipped,Vintage Cars,S24_3816,50,77.99,3899.5,83,77.99
10129,2,2003-06-12,Shipped,Classic Cars,S10_4757,33,100.0,4398.24,136,133.28
10129,4,2003-06-12,Shipped,Vintage Cars,S24_3151,41,94.71,3883.11,88,94.71000000000001
10130,1,2003-06-16,Shipped,Vintage Cars,S18_3856,33,100.0,3423.75,105,103.75
10131,6,2003-06-16,Shipped,Vintage Cars,S24_3420,29,59.18,1716.22,65,59.18
10133,6,2003-06-27,Shipped,Vintage Cars,S32_4289,49,57.1,2797.9,68,57.1
10133,7,2003-06-27,Shipped,Vintage Cars,S50_1341,27,50.19,1355.13,43,50.190000000000005
10135,1,2003-07-02,Shipped,Classic Cars,S24_2972,20,35.87,717.4,37,35.87
10135,2,2003-07-02,Shipped,Classic Cars,S24_3856,47,100.0,6336.07,140,134.81
10135,3,2003-07-02,Shipped,Classic Cars,S18_1889,48,79.31,3806.88,77,79.31
10135,4,2003-07-02,Shipped,Classic Cars,S12_4675,29,97.89,2838.81,115,97.89
10135,5,2003-07-02,Shipped,Classic Cars,S12_3380,48,100.0,6031.68,117,125.66000000000001
10135,6,2003-07-02,Shipped,Classic Cars,S24_3371,27,66.13,1785.51,61,66.13
10135,7,2003-07-02,Shipped,Classic Cars,S12_1099,42,100.0,8008.56,194,190.68
10135,8,2003-07-02,Shipped,Classic Cars,S12_3990,24,75.01,1800.24,79,75.01
10135,9,2003-07-02,Shipped,Classic Cars,S18_3482,42,100.0,5432.7,146,129.35
10135,10,2003-07-02,Shipped,Classic Cars,S18_3278,45,78.0,3510.0,80,78.0
10135,11,2003-07-02,Shipped,Classic Cars,S24_4620,23,87.31,2008.13,80,87.31
10135,12,2003-07-02,Shipped,Classic Cars,S18_4721,31,100.0,4705.18,148,151.78
10136,1,2003-07-04,Shipped,Classic Cars,S18_1984,36,100.0,5274.72,142,146.52
10136,2,2003-07-04,Shipped,Classic Cars,S18_1129,25,100.0,3644.75,141,145.79
10136,3,2003-07-04,Shipped,Classic Cars,S18_3232,41,100.0,8331.61,169,203.21
10137,1,2003-07-10,Shipped,Classic Cars,S24_1628,26,49.81,1295.06,50,49.809999999999995
10137,2,2003-07-10,Shipped,Classic Cars,S18_1589,44,99.55,4380.2,124,99.55
10137,3,2003-07-10,Shipped,Classic Cars,S18_2870,37,100.0,4346.76,132,117.48
10137,4,2003-07-10,Shipped,Classic Cars,S18_3685,31,100.0,5124.3,141,165.3
10139,1,2003-07-16,Shipped,Vintage Cars,S18_2949,46,100.0,5545.76,101,120.56
10139,2,2003-07-16,Shipped,Vintage Cars,S18_3136,20,90.06,1801.2,104,90.06
10139,3,2003-07-16,Shipped,Vintage Cars,S18_2957,20,71.2,1424.0,62,71.2
10139,4,2003-07-16,Shipped,Vintage Cars,S24_4258,29,100.0,3276.13,97,112.97
10139,5,2003-07-16,Shipped,Vintage Cars,S18_3320,30,100.0,3095.4,99,103.18
10139,6,2003-07-16,Shipped,Vintage Cars,S18_1367,49,43.13,2113.37,53,43.129999999999995
10139,7,2003-07-16,Shipped,Vintage Cars,S18_1342,31,100.0,3184.94,102,102.74
10139,8,2003-07-16,Shipped,Vintage Cars,S18_2795,41,100.0,7956.46,168,194.06
10140,4,2003-07-24,Shipped,Classic Cars,S10_4962,26,100.0,3188.12,147,122.61999999999999
10140,6,2003-07-24,Shipped,Classic Cars,S700_2824,36,100.0,4114.8,101,114.30000000000001
10140,9,2003-07-24,Shipped,Vintage Cars,S18_4668,29,43.27,1254.83,50,43.269999999999996
10140,11,2003-07-24,Shipped,Classic Cars,S10_1949,37,100.0,7374.1,214,199.3
10141,1,2003-08-01,Shipped,Classic Cars,S24_4048,40,94.62,3784.8,118,94.62
10141,2,2003-08-01,Shipped,Classic Cars,S24_1444,20,54.33,1086.6,57,54.33
10141,4,2003-08-01,Shipped,Classic Cars,S18_2238,39,100.0,5938.53,163,152.26999999999998
10141,6,2003-08-01,Shipped,Classic Cars,S24_2840,21,42.43,891.03,35,42.43
10141,9,2003-08-01,Shipped,Classic Cars,S18_3232,34,100.0,4836.5,169,142.25
10142,1,2003-08-08,Shipped,Vintage Cars,S24_3151,49,98.25,4814.25,88,98.25
10142,7,2003-08-08,Shipped,Vintage Cars,S18_4522,24,70.22,1685.28,87,70.22
10142,8,2003-08-08,Shipped,Vintage Cars,S18_3140,47,100.0,6034.33,136,128.39
10142,11,2003-08-08,Shipped,Classic Cars,S12_3891,46,100.0,9470.94,173,205.89000000000001
10142,12,2003-08-08,Shipped,Classic Cars,S12_1108,33,100.0,8023.29,207,243.13
10142,13,2003-08-08,Shipped,Classic Cars,S12_3148,33,100.0,4985.64,151,151.08
10142,15,2003-08-08,Shipped,Classic Cars,S18_4027,24,100.0,3791.52,143,157.98
10143,1,2003-08-10,Shipped,Vintage Cars,S50_1341,34,36.66,1246.44,43,36.660000000000004
10143,9,2003-08-10,Shipped,Vintage Cars,S24_3420,33,77.59,2560.47,65,77.58999999999999
10143,12,2003-08-10,Shipped,Vintage Cars,S18_3856,34,100.0,3455.76,105,101.64
10143,14,2003-08-10,Shipped,Vintage Cars,S24_3816,23,80.51,1851.73,83,80.51
10143,15,2003-08-10,Shipped,Classic Cars,S10_4757,49,100.0,5597.76,136,114.24000000000001
10144,1,2003-08-13,Shipped,Vintage Cars,S32_4289,20,81.86,1637.2,68,81.86
10146,1,2003-09-03,Shipped,Classic Cars,S18_4721,29,100.0,4444.54,148,153.26
10147,1,2003-09-05,Shipped,Classic Cars,S24_2972,25,42.67,1066.75,37,42.67
10147,2,2003-09-05,Shipped,Classic Cars,S24_3856,23,100.0,2906.97,140,126.38999999999999
10147,3,2003-09-05,Shipped,Classic Cars,S18_1889,26,82.39,2142.14,77,82.39
10147,4,2003-09-05,Shipped,Classic Cars,S12_4675,33,97.89,3230.37,115,97.89
10147,5,2003-09-05,Shipped,Classic Cars,S12_3380,31,100.0,3494.94,117,112.74
10147,6,2003-09-05,Shipped,Classic Cars,S24_3371,30,68.58,2057.4,61,68.58
10147,7,2003-09-05,Shipped,Classic Cars,S12_1099,48,100.0,9245.76,194,192.62
10147,8,2003-09-05,Shipped,Classic Cars,S12_3990,21,63.84,1340.64,79,63.84
10147,9,2003-09-05,Shipped,Classic Cars,S18_3482,37,100.0,4405.22,146,119.06
10147,10,2003-09-05,Shipped,Classic Cars,S18_3278,36,86.04,3097.44,80,86.04
10147,11,2003-09-05,Shipped,Classic Cars,S24_4620,31,64.67,2004.77,80,64.67
10148,1,2003-09-11,Shipped,Vintage Cars,S18_4409,34,100.0,3598.22,92,105.83
10148,2,2003-09-11,Shipped,Classic Cars,S18_4933,29,81.25,2356.25,71,81.25
10148,3,2003-09-11,Shipped,Classic Cars,S24_2887,34,100.0,4392.12,117,129.18
10148,4,2003-09-11,Shipped,Classic Cars,S24_2766,21,73.6,1545.6,90,73.6
10148,5,2003-09-11,Shipped,Classic Cars,S24_3191,31,73.62,2282.22,85,73.61999999999999
10148,6,2003-09-11,Shipped,Classic Cars,S24_1046,25,60.26,1506.5,73,60.26
10148,7,2003-09-11,Shipped,Classic Cars,S24_3432,27,100.0,3469.5,107,128.5
10148,8,2003-09-11,Shipped,Classic Cars,S24_1628,47,56.85,2671.95,50,56.849999999999994
10148,9,2003-09-11,Shipped,Classic Cars,S18_1589,47,100.0,5848.68,124,124.44000000000001
10148,10,2003-09-11,Shipped,Classic Cars,S18_2870,27,100.0,3528.36,132,130.68
10148,11,2003-09-11,Shipped,Classic Cars,S18_3685,28,100.0,3639.44,141,129.98
10148,12,2003-09-11,Shipped,Classic Cars,S18_1984,25,100.0,4232.0,142,169.28
10148,13,2003-09-11,Shipped,Classic Cars,S18_1129,23,100.0,2702.04,141,117.48
10148,14,2003-09-11,Shipped,Classic Cars,S18_3232,32,100.0,5418.88,169,169.34
10149,1,2003-09-12,Shipped,Vintage Cars,S24_4258,20,90.57,1811.4,97,90.57000000000001
10149,2,2003-09-12,Shipped,Vintage Cars,S18_3320,42,94.25,3958.5,99,94.25
10149,3,2003-09-12,Shipped,Vintage Cars,S18_1367,30,58.22,1746.6,53,58.22
10149,4,2003-09-12,Shipped,Vintage Cars,S18_1342,50,100.0,5907.5,102,118.15
10149,5,2003-09-12,Shipped,Vintage Cars,S18_2795,23,100.0,4230.62,168,183.94
10149,6,2003-09-12,Shipped,Vintage Cars,S24_2022,49,49.28,2414.72,44,49.279999999999994
10149,7,2003-09-12,Shipped,Vintage Cars,S24_1937,36,33.19,1194.84,33,33.19
10149,8,2003-09-12,Shipped,Vintage Cars,S18_2325,33,100.0,4950.33,127,150.01
10149,9,2003-09-12,Shipped,Vintage Cars,S24_3969,26,38.98,1013.48,41,38.980000000000004
10149,10,2003-09-12,Shipped,Vintage Cars,S18_2248,24,62.36,1496.64,60,62.36000000000001
10149,11,2003-09-12,Shipped,Vintage Cars,S18_1749,34,100.0,5375.4,170,158.1
10150,1,2003-09-19,Shipped,Classic Cars,S10_4962,20,100.0,3191.2,147,159.56
10150,3,2003-09-19,Shipped,Classic Cars,S700_2824,20,100.0,2104.0,101,105.2
10150,6,2003-09-19,Shipped,Vintage Cars,S18_4668,30,42.76,1282.8,50,42.76
10150,8,2003-09-19,Shipped,Classic Cars,S10_1949,45,100.0,10993.5,214,244.3
10150,9,2003-09-19,Shipped,Vintage Cars,S18_2949,47,91.18,4285.46,101,91.18
10150,10,2003-09-19,Shipped,Vintage Cars,S18_3136,26,100.0,2804.36,104,107.86
10150,11,2003-09-19,Shipped,Vintage Cars,S18_2957,30,49.97,1499.1,62,49.97
10151,2,2003-09-21,Shipped,Classic Cars,S18_2238,43,100.0,7110.91,163,165.37
10151,4,2003-09-21,Shipped,Classic Cars,S24_2840,30,40.31,1209.3,35,40.309999999999995
10151,7,2003-09-21,Shipped,Classic Cars,S18_3232,21,100.0,3734.01,169,177.81
10152,1,2003-09-25,Shipped,Classic Cars,S18_4027,35,100.0,4524.1,143,129.26000000000002
10152,3,2003-09-25,Shipped,Classic Cars,S24_4048,23,100.0,2802.09,118,121.83000000000001
10152,4,2003-09-25,Shipped,Classic Cars,S24_1444,25,65.31,1632.75,57,65.31
10153,6,2003-09-28,Shipped,Vintage Cars,S18_4522,22,83.38,1834.36,87,83.38
10153,7,2003-09-28,Shipped,Vintage Cars,S18_3140,31,100.0,3641.57,136,117.47
10153,10,2003-09-28,Shipped,Classic Cars,S12_3891,49,100.0,7036.89,173,143.61
10153,11,2003-09-28,Shipped,Classic Cars,S12_1108,20,100.0,4904.0,207,245.2
10153,12,2003-09-28,Shipped,Classic Cars,S12_3148,42,100.0,5393.64,151,128.42000000000002
10154,2,2003-10-02,Shipped,Vintage Cars,S24_3151,31,91.17,2826.27,88,91.17
10300,1,2003-10-04,Shipped,Classic Cars,S18_1889,41,92.4,3788.4,77,92.4
10300,2,2003-10-04,Shipped,Classic Cars,S12_4675,23,100.0,2807.61,115,122.07000000000001
10300,3,2003-10-04,Shipped,Classic Cars,S12_3380,29,100.0,3984.6,117,137.4
10300,4,2003-10-04,Shipped,Classic Cars,S24_3371,31,58.78,1822.18,61,58.78
10300,5,2003-10-04,Shipped,Classic Cars,S12_1099,33,100.0,5521.89,194,167.33
10300,6,2003-10-04,Shipped,Classic Cars,S12_3990,22,76.61,1685.42,79,76.61
10300,7,2003-10-04,Shipped,Classic Cars,S18_3482,23,100.0,3786.49,146,164.63
10300,8,2003-10-04,Shipped,Classic Cars,S18_3278,49,78.8,3861.2,80,78.8
10301,1,2003-10-05,Shipped,Classic Cars,S24_1046,27,72.02,1944.54,73,72.02
10301,2,2003-10-05,Shipped,Classic Cars,S24_3432,22,96.37,2120.14,107,96.36999999999999
10301,3,2003-10-05,Shipped,Classic Cars,S24_1628,22,51.32,1129.04,50,51.32
10301,4,2003-10-05,Shipped,Classic Cars,S18_1589,32,100.0,3424.64,124,107.02
10301,5,2003-10-05,Shipped,Classic Cars,S18_2870,22,100.0,3223.44,132,146.52
10301,6,2003-10-05,Shipped,Classic Cars,S18_3685,39,100.0,6446.7,141,165.29999999999998
10301,7,2003-10-05,Shipped,Classic Cars,S18_1984,47,100.0,7488.04,142,159.32
10301,8,2003-10-05,Shipped,Classic Cars,S18_1129,37,100.0,5917.78,141,159.94
10301,9,2003-10-05,Shipped,Classic Cars,S18_3232,23,100.0,4011.66,169,174.42
10301,10,2003-10-05,Shipped,Classic Cars,S24_2972,48,34.36,1649.28,37,34.36
10301,11,2003-10-05,Shipped,Classic Cars,S24_3856,50,100.0,7723.5,140,154.47
10155,7,2003-10-06,Shipped,Vintage Cars,S24_3420,34,55.89,1900.26,65,55.89
